OCR Text,Scientific Name,Barcode,Geography ,Collector,Year,Predicted Barcode
"leiocarpum. Sisymbrium officinale, seofe Dells of the Wisconsin river ,bilj, Aug. 30, 1904. Dakilbourn Wisconsin Coll. Wim Finger.",Sisymbrium Officinale,01716335,"Wisconsin, US",W. Finger,1904,01716335
PLANTES DE L'INDO-CHINE 20.6.504 A.Petelot duril 193 Sustaw pontis Coming soon MOY. Ven 50m. Rovin in amont Sa Pont In Links de arihi Cenkin,Croton pontis,00047503,None,None,1935,00047503
"Authentic Specimen herewith) of: LECTOTYPE (designated As ter asper Nees, Gen. et Sp. Ast. p. 84. 1832. As ter novi-belgii L. (perhaps with slight introgression of A. puniceus L.) det. Almut G. Jones, 1984 University of Illinois Herbarium (ILL)",Aster asper,00002892,"Illinois, US",Almut G. Jones,1832,00002892
"Probable Type Aster asper C, G, Nees von Esenbeck Gen. Sp. Aster. 84. 1832. 1983 D. E. BOUFFORD HARVARD UNIVERSITY HERBARIA Read fran 100han adan Compositæ cultæ. Aster N. ab & ly kett 1870 Asrg 188. Ex herbario C. G. Nees ab Esenbeck. r. to patulus L",Aster asper,00002892,None,C. G. Nees,"1832, 1983",00002892
Composita culta. Aster aopoer D. ab E. (h. 4 Ex herbario C. G. Nees ab Esenbeck.,Aster asper,00002892,None,C. G. Nees,None,00002892
"Flymenocaster Kiotaschii X tener henhollandisch Haus det. Soclanen Hot. Berol. Nov. 1905 Dieser Pale zeigt Merkmale von teneu Berk. Die sculptur der Sprem entspricht Kletzschen Hym. Klotzochij zal und solche Zul, die Form insbesondere die Repellenbildung weißt auf tener Berx. das aupere despilzes entspricht Hyon. Klotzochin. Jedenfalls sind die Sporen nicht typisch. E. Sochner how, 1925.",None,00416761,None,Hort Berol,1905,00416761
"HARVARD UNIVERSITY HERBARIA Possible Type Material Stachys aculeolata Hook. f. See J. Linn. soc. Bot. 6:18. 1862. 1980 Philip D. Cantino From the Herbarium of the Royal Gardens, Kew. West Trop. Africa. 1859-63. Coll. G. Mann.",Stachys Aculeolata,00002084,Africa,Philip D. Cantino,"1862, 1980",00002084
319 Staokyo geulesta 14 Clarence Peak Fernando Poe 9000ft Mann 1860,Stachys Aculeolata,00002084,None,Mann,1860,00002084
Fun tumia africana (Benth.) Stapf TYPE H. Zwetsloot det. Herbarium Vadense (WAG) 19 80,Funtamia Africana,00078782,None,None,None,00078782
"Fernando Po Mann 1861 From the Herbarium of the Royal Gardens, Kew. chalonitia West Trop. Africa. 1859-63. Coll. G. Mann.",Fernando Po,00078782,Africa,G. Mann,1861,00078782
scraniana molho (Waty. Genclar Ex Herb. Bot. Berolinens. Iter Warburgianum 1885 - 1889. Nr. 21788 Genirthalamus mollis Wbg. Peutsch Neu - Guinea : Constantinhafen V a. III - IV. 1889. Leg: 0. Warburg.,goniothalamus mollis,00107082,Guinea,None,"1885, 1889",00107082
"ISOTYPE of Goniothalamus mollis Warburg, in Engler. Bot. Jahrb. 306.1891. Pseuduvaria mollis (Warb.) J. Sinclair . The University of Hong Kong",goniothalamus mollis,00107082,None,J. Sinclair,1891,00107082
"Sauragia SEEM. (S. COSTARICENSIS VERAGUKUSIS YAR. DOLICOTRICA Buse. Det. Gordon E. Hunter Missouri Bot. Gard., 1962 ISOTYPE)",saurauia costaricensis,00246062,"Missouri, US",Gordon. E. Hunter,1962,00246062
"(Det StB 1919 Herb 1917 Herb. Instit. physico-geogr. nat. costaricensis. No 11, 690 Saurania preudo-cortarcennio Bus N. v. Moco. La Contr. fray Forêts du Ceferry Dat: 7.7691 Lesio At Torsdag 1800 m. Alt: Det:.",Saurauia preudocortarcennio,00246062,None,N. V. Moco,"1917, 1919",00246062
"SMITHSONIAN INSTITUTION From THE UNITED STATES NATIONAL HERBARIUM PLANTS OF YUNNAN, CHINA ARNOLD ARBORETUM HARVARD UNIVERSITY Sedum concarpen Fzött Fla yellow, ffeily TYPE Com. al pria meadowe July Yangtze watershed, Prefectural District of Likiang, eastern slopes of Likiang Snow Range No. 5434 J. F. ROCK, Collector fas-Otober, 1922",Sedum concarpen,00042584,China,J. F. Rock,1922,00042584
"SMITHSONIAN INSTITUTION FROM THE UNITED STATES NATIONAL HERBARIUM PLANTS OF THE MULI (OR MILI) KINGDOM, SOUTHWESTERN SZECHUAN, CHINA Scifrage comosila mattf. spec. Ils yellow innri Mount Mitzuga, west of Muli Gomba; altitude 3050-4875 meters No. 16597 J. F. ROCK, Collector June, 1928",Scifrage comosila,00046962,China,J. F. Rock,1928,00046962
"PLANTS OF SOUTHERN CALIFORNIA. SAN BERNARDINO CO. śnieg orvauw heuneslji Putin Bear Valley, San Bernardino Mts., alt. about 6500 ft, No. 3736 Coll. S. B. PARISH, 16-20 June, 1895.",None,00364279,"California, US",S. B. PARISH,1895,00364279
"sensitiva a Plants of California Arctostaphylos mummulara var. South side of Mt. Tamalpais, Marin Co. Alt 1000--1500 ft. Date Feb. 1, 1925. John Thomas Howell 31.",sensitiva planus,00362153,None,John Thomas Howell,1925,00362153
Aster unbellatus Mill. var. umbellatus Det: Colleen Leeder August 1985 WAT University of Waterloo,Aster umbellatus,01019347,None,None,1985,01019347
"Aroustook 6. Aroa NE HERBARIUM OF EMILE F. WILLIAMS. Aster umbellatus, Mill Bland in St. John river-Fort Kent Aug. 10.1901 rays white Maine Coll. E. F. W.",Aster umbellatus,01019347,"Maine, US",E.F.W.,1901,01019347
"NEW ENGLAND BOTANICAL CLUB. HERBARIUM OF M. L. FERNALD. PRESENTED NOVEMBER, 1902. Au umbellatur Brill. Flora of Maine. No. Aste umbellatus Con moods, Cono. Legit M. R. Femald- Sept. 6. 1893 EX HERB. M. L. FERNALD.",Aster umbellatus,01019353,"Maine, US",M.L Fernald,"1893, 1902",01019353
"CALIFORNIA ACADEMY OF SCIENCES 21948 FLORA OF CALIFORNIA beanothus crassifoliis Zorr- . SAN FERNANDO WASH LOS ANGELES COUNTY COLL. ALICE EASTWOOD May II, 1913",clara california,00367993,"California, US",Alice Eastwood,1913,00367993
"81948 CALIFORNIA ACADEMY OF SCIENCES FLORA OF CALIFORNIA beanothus crassifoliis Zorr- . SAN FERNANDO WASH LOS ANGELES COUNTY COLL. ALICE EASTWOOD May II, 1913",clara california,00367994,"California, US",Alice Eastwood,1913,00367994
"T BARTHOLEME V HERB, Collected by ELAM BARTHOLOMEW. Host North American Fungi 6410 Hapalopilus gituut (Schwuju Locality Dickening mo. Sept. 29, 1917. log mo. Date",northia americana,00605821,None,Elam Bartholeme,1917,00605821
"HERBARIUM OF C.A. WEATHERBY. Iris prismatica Punch white - Flowered Old Saybrook, Conn. June 1, 1922 Amine Lorenz Middlesex Co",Iris prismatica,00463470,None,None,1922,00463470
"CONNECTICUT FLORA, LITCHFIELD COUNTY. Carex rostrale stakes var. utriculala Kwach about po . COLLECTOR C. H. BISSELL.",Carex rostrale,01061124,"Connecticut, US",C.H.BISSELL,None,01061124
"FLORA OF PRINCE EDWARD ISLAND QUEENS COUNTY ع No. 76537 arcuano Jinado Supehar Rubue tardatur Blanchardt becoming pureliale ; ouwcamer arelinga frically taciebigailroad banks, Mr. Swar. M. L. FERNALD, E. B. BARTRAM, BAYARD LONG and HAROLD ST. JOHN, July 30, 1912.",rubus tardatus,01703924,None,"E. B. BARTRAM,M. L. FERNALD",1912,01703924
"PLANTS OF OREGON Collected by Morton E. Peck Wats. Iris bracteata Dry wooded slope along Page Cr., omi. S.E. of Takilina, Josephine Co. No.872 July 8, 1918.",Iris bracteata,01700951,"Oregon, US",Morton E. Peck,1918,01700951
"Iris eristata boster and Sharron 5-1-GU Range extended to the zacks, where it is very 8 cor had B. J. Rush No.39, nmr",Iris eristata,01747024,None,None,None,01747024
"var. leiocarpum. Sisymbrium officinale, seofe Delle of ote Wisconsin River , bilj, Aug. 30, 1904. DaKilbourn Wisconsin Coll. Wim Finger.",sisymbrium officinale,01716335,"Wisconsin, US",Coll Finger,1904,01716335
"Nevada Cryptantha the modesta Pappen Fayen Mancy, White Pine Co. July 6, 1871 Me Janes 6713",Cyptantha modesta,02060925,None,None,1871,02060925
"flaciniata HERBARIUM OF F. W. HUNNEWELL FLORA OF NORTH CAROLINA COUNTY. Ex avery 넷 Bradere manchata, poodeide, Dinila 4,863 July 21.1933 No. COLL. F. W. H.","Bradere manchata,",02201737,North Carolina,"F. W. HUNNEWELL,F. W. H.",1933,02201737
"C. nestrata, Resep SYN. FL. N. AMER.",C. nestrata,01087720,None,None,None,01087720
Plantæ in itineribus Suecorum polaribus collectæ. Cochlearia finestrała R. Br. Koblebag Aug. x. n Insulæ Spetsbergenses: Th. M. Fries.,cochlearia finestrała,00864134,None,None,None,00864134
HERBARIUM OF THE OHIO STATE UNIVERSITY Pontederia cordata L. var. cordata R. M. Lowden June 1971 toos for Carroll Coo HERB. W.G. FARLOW Poreceria cordata a L MLake ruA broma. Niliaus 1917,pontederia cordata,00864134,"Ohio, US",R. M. Lowden,1971,00864134
"ANICAL CD MAINE FLORA, SAGADAHOC COUNTY 1/3224 229Jrence cus acuminatus Mickey, Border of salt-marsh. Back River Creek, WOOLWICH. FERNALD AND BAYARD LONG, September 15, 1916.",Juncus acuminatus,00864281,"Maine, US",Woolwich. Fernald,1916,00864281
"21, 226 HERBARIUM OF ARTHUR STANLEY PEASE Tridens favus (L.) Hitchc. Dry soil by Amherst College Observatory, Amherst, mass. Hampshire Co 19 Sept., 1929, Coll.A.S.P.",Tridens Flavus,00614573,None,A.S.P,1929,00614573
"0.91 HERB. 08MERILL SMITHSONIAN INSTITUTION FROM THE UNITED STATES NATIONAL HERBARIUM PLANTS OF ALABAMA 200ocno HERBARIU, Becidea (Belle ) vyrirgen da (DC.) me. Mellers ville FARLOW ARIUM HARVARD NIVERSITY CHARLES L. POLLARD WILLIAM R. MAXON Collectors July \le, 1900",Becidea vyrirgen,00388632,"Alabama, US","Charles.L.Pollard, William. R. Maxon",1900,00388632
"Buellia punctata (Hoffen) mass. Annotated by H. A. Imshaug, 1951 Herbarium of the University of Michigan",Buellia punctata,00388632,"Michigan, US",H.A. Imshaug,1951,00388632